Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
ANN,1.3464032445407583,28.28023807993479,24.90567098849842,49.418
MGR,1.2899558727964962,2.110441603340154,2.1788354733551114,634.452
IEL,1.2246672169366788,29.2033809044818,31.015053290351382,43.529
TAH,0.669060065059289,1.070797324180603,1.0170129537582397,648.568
NWL,0.5884391601383547,12.3859678465785,13.330410368270725,49.314
BRG,0.5112217873325039,19.445012303655655,20.351724152403982,27.29
QBE,0.418670147669694,12.429533382010103,12.924772314024116,34.963
BEN,0.3822294190892827,9.296961117523784,9.306333200724415,42.676
EVT,0.3294226875629207,12.769659898208808,13.469900094211413,26.778
LLC,0.3243157652973835,7.841877750684669,7.841877169526008,42.928
SOL,0.296480921985004,27.412076950073242,28.647745795458743,11.227
PMV,0.2855439623088469,24.787736461576102,26.63416129311662,11.957
NEC,0.2579930104589238,1.7189757421290242,2.0306581926166087,155.789
FBU,0.2533741038659163,4.162221348998047,4.2734613806978405,63.188
CNU,0.2482247954376525,7.501605746634877,7.616133598941703,34.347
AIA,0.2451688447916387,7.441270432691362,7.670079796102508,34.199
ORG,0.24148163434610415,7.3214236384315825,6.842898842648729,34.236
DOW,0.2406651103334016,3.6324872267226116,3.816043811670049,68.771
JBH,0.2404731667660733,42.339824111060054,42.18121525729063,5.895
IGO,0.2399803584219118,14.117182669222162,14.400699198212392,17.645
