Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
WTC,0.6185760946578789,75.60850524902344,84.2979965209961,14.039
VEA,0.5330967912412211,2.832460880279541,3.007664442062378,322.968
LYC,0.5056095161591225,7.039999961853027,6.849999904632568,123.242
NXT,0.4824620260718574,12.329999923706056,13.039999961853027,67.146
EVT,0.4173444514386484,11.385377883911133,11.660672187805176,62.902
AUB,0.4136963134328192,28.600143432617188,28.373624801635746,24.822
SUL,0.3774551673539788,11.500898361206056,13.079453468322754,56.318
REA,0.3658114308808792,144.26585388183594,158.32431030273438,4.351
AWC,0.3433526995232439,1.3949999809265137,1.340000033378601,422.361
SHL,0.3098797360251939,33.9769287109375,33.31975555419922,15.65
REH,0.2986568709961051,18.051294326782227,20.03277587890625,28.391
AFI,0.293461836744626,6.913106918334961,6.949999809265137,72.844
NST,0.2868896510826041,12.432791709899902,10.409996032714844,39.597
SGP,0.2849094049859243,4.039999961853027,4.130000114440918,121.016
BKW,0.2813651737872762,24.861703872680664,25.245098114013672,19.42
BRG,0.2810987947787798,21.792463302612305,23.441301345825195,22.135
NWL,0.2772262704060382,13.626662254333496,14.390311241149902,34.911
BXB,0.2547169368341225,13.690251350402832,13.936656951904297,31.927
AIA,0.2384126618507547,7.64023494720459,7.560648918151855,53.548
NEC,0.235506497513878,1.9307461977005005,2.008756160736084,209.312
