Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
BHP,0.5893774932181598,43.79999923706055,45.880001068115234,27.625
NHC,0.4498127113073246,5.857372760772705,6.389861106872559,157.659
TNE,0.3735791529563905,15.640000343322754,15.770000457763672,49.038
ANZ,0.3588267795864842,25.32999992370605,25.81999969482422,29.083
GNE,0.3575347488030839,2.190659046173096,2.2699999809265137,335.068
CWY,0.3278250094139503,2.4655001163482666,2.4200000762939453,272.977
SMR,0.3213980610511379,3.0799999237060547,3.839999914169312,214.231
RHC,0.3202930292194136,50.619998931884766,49.970001220703125,12.99
GMG,0.2984992248891327,22.649999618530277,21.989999771118164,27.056
BKW,0.2879641368234422,27.43733024597168,25.62849235534668,21.547
ILU,0.2790255347184325,7.96999979019165,7.480000019073486,71.874
TLX,0.2718555508841536,11.229999542236328,10.229999542236328,49.699
SFR,0.2665631012913043,6.360000133514404,6.0,86.046
EML,0.259864132173878,1.0800000429153442,1.1699999570846558,493.982
TLS,0.252909190186764,3.869999885559082,3.869999885559082,134.166
BRG,0.2433973182796153,22.489999771118164,22.239999771118164,22.219
ARB,0.23645076316347202,32.21853256225586,29.32999992370605,15.067
COL,0.2266172538075389,15.75,15.489999771118164,29.539
DDR,0.222349446998828,9.31999969482422,10.199999809265137,48.979
ALX,0.20717077135478598,5.498417854309082,5.449999809265137,77.353
