Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
HLS,0.6631668215534987,2.9800000190734863,2.390000104904175,364.297
SEK,0.5663291164417362,23.283153533935547,22.09000015258789,39.818
ANZ,0.5625648948627685,24.81999969482422,25.32999992370605,37.104
GOR,0.5142114832823165,1.5593860149383545,1.659999966621399,539.805
HVN,0.5119870054115373,3.687684774398804,3.940000057220459,227.276
PDN,0.4320658786044278,0.7549999952316284,0.8949999809265137,936.81
AUB,0.4312951122524255,28.373624801635746,30.549999237060547,24.883
PRU,0.37716451334805884,1.6658432483673096,1.75,370.634
HUB,0.3719729907924378,26.946495056152344,33.0,22.597
IGO,0.337492283205937,12.438750267028809,13.170000076293944,44.416
VUK,0.3366794717001279,3.2300000190734863,3.119999885559082,170.633
PTM,0.3317389045909607,1.5549341440200806,1.2799999713897705,349.247
ZIM,0.3073239378092424,23.548599243164062,23.5,21.364
SUL,0.3031765388173987,13.079453468322754,12.050000190734863,37.945
VNT,0.2952312488894228,2.78358793258667,2.630000114440918,173.623
IPL,0.2924448152491997,2.970000028610229,3.049999952316284,161.189
CHC,0.2863603934733288,10.289999961853027,10.18000030517578,45.556
MPL,0.2829000631718072,3.3604679107666016,3.470000028610229,137.81
REH,0.2484970933565989,20.03277587890625,18.625925064086918,20.306
CNU,0.2415955551658435,7.503761768341064,6.820000171661377,52.706
