Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
FLT,1.2091745037990045,18.025798797607425,18.283451080322266,84.789
XRO,0.6584751955025179,88.47000122070312,91.51000213623048,9.408
RRL,0.5408819543148532,1.7799999713897705,2.25,384.087
SEK,0.5156028443186663,22.800111770629883,24.936336517333984,28.584
SPK,0.4523989585696361,4.4105753898620605,4.580921173095703,129.65
ORA,0.4260702735682707,3.254602432250977,3.4105114936828613,165.474
RMS,0.404725639210455,1.1027692556381226,1.427692413330078,463.899
BKW,0.3973235189861066,22.80297088623047,22.472856521606445,22.024
WTC,0.3923899394724657,62.544315338134766,65.92023468017578,7.93
DOW,0.3908368453571713,3.246345996856689,3.3640384674072266,152.177
CGF,0.3698733508544125,6.62982177734375,6.168190002441406,70.518
REH,0.3384974363496737,15.83188819885254,17.555925369262695,27.025
NHF,0.3319657568733926,6.872572898864746,7.255473613739014,61.055
GOZ,0.3110911689074537,3.003272533416748,2.974395036697388,130.93
WHC,0.3026298306274247,6.5625,6.309374809265137,58.289
PMV,0.30061264124509085,26.654016494750977,26.53489112854004,14.256
MCY,0.3004530412231535,5.863526821136475,5.697116374969482,64.769
CEN,0.2948515042439867,6.846470355987549,6.953751564025879,54.436
VCX,0.2932689978367779,1.97089421749115,1.8984349966049197,188.083
ANZ,0.290163928191657,22.52000617980957,22.829425811767575,16.286
