Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
MCY,1.3680220656934914,5.146546840667725,5.049988746643066,289.205
EBO,1.058875683530955,38.24321365356445,40.985328674316406,30.124
NIC,0.6708211244084615,0.9858083128929138,1.0623760223388672,740.36
SOL,0.6601327466226398,27.481273651123047,27.41207695007324,26.135
CBA,0.6220709221948899,102.280517578125,99.0376205444336,6.617
HUB,0.5272546285060342,26.099512100219727,27.16802978515625,21.979
REA,0.5200165820842891,119.6059112548828,114.19758605957033,4.73
WTC,0.4080344509347319,54.847442626953125,51.00602722167969,8.094
CAR,0.383011549664947,21.3309383392334,21.379751205444336,19.536
FBU,0.3670867519686926,4.449591159820557,4.217841625213623,89.759
WOW,0.3640911762341234,33.35641860961914,33.025672912597656,11.876
NUF,0.3559142850597986,6.143430233001709,5.994799613952637,63.032
NHF,0.3547003486493658,7.024893760681152,7.314381122589111,54.935
BPT,0.3464020062138322,1.5823643207550049,1.53854501247406,238.179
TCL,0.3432307853216136,13.482748985290527,12.962154388427734,27.697
ORG,0.336784069661011,7.168295383453369,7.273571014404297,51.117
LOV,0.3203141044504214,22.2940731048584,24.55255889892578,15.632
TNE,0.3168763294336189,14.050259590148926,13.262487411499023,24.538
AZJ,0.3108822352346117,3.534354448318481,3.5247762203216557,95.701
VEA,0.3015769330494663,2.4500925540924072,2.459408760070801,133.92
