Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
ANN,1.3464032445407583,28.406661987304688,25.080720901489254,56.83
MGR,1.2899558727964962,2.129982709884644,2.159294366836548,726.136
IEL,1.2246672169366788,29.577531814575195,30.591672897338867,49.645
TAH,0.669060065059289,1.070797324180603,1.0170130729675293,749.164
NWL,0.5884391601383547,12.58272647857666,13.418951988220217,56.072
BEN,0.3822294190892827,9.268845558166504,9.006430625915527,49.444
EVT,0.3294226875629207,12.944720268249512,13.68386173248291,30.513
DMP,0.3049556585699486,67.51651000976562,67.96656036376953,5.416
SOL,0.296480921985004,27.41207695007324,28.58843421936035,12.968
NEC,0.2579930104589238,1.766200304031372,1.9928784370422363,175.141
FBU,0.2533741038659163,4.217841625213623,4.254921436309815,72.026
AIA,0.2451688447916387,7.461166858673096,7.809354782104492,39.398
DOW,0.2406651103334016,3.719434976577759,3.835365533828736,77.581
JBH,0.2404731667660733,43.03024673461914,41.8266716003418,6.701
IGO,0.2399803584219118,14.302935600280762,13.804336547851562,20.117
PLS,0.23858304924150628,3.7622480392456055,4.461761474609375,76.035
SFR,0.22919559107937768,6.199999809265137,6.25,44.323
TNE,0.22359528022381306,13.262487411499023,14.459102630615234,20.214
PNI,0.2213509873873564,9.574454307556152,9.111326217651367,27.72
IPL,0.2201803054776722,3.669926404953003,3.371323585510254,71.935
