Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
SGM,0.9892781743364208,12.32541561126709,13.34033489227295,99.687
BPT,0.5989205525405608,1.6943470239639282,1.5823643207550049,439.024
BAP,0.5228204223125664,6.675264358520508,6.472104072570801,97.276
XRO,0.4530412823943997,68.16999816894531,75.1500015258789,8.254
NHC,0.4353845441168658,5.368748188018799,5.620711326599121,100.721
CSR,0.4290397804064706,4.495420455932617,4.793831825256348,118.536
PMV,0.4153430279773063,24.77726554870605,24.73793601989746,20.82
IAG,0.4142434955868714,4.627290725708008,4.617569446563721,111.186
FPH,0.3893163634741342,17.41880226135254,21.026180267333984,27.759
EML,0.3789466408280719,0.5149999856948853,0.6399999856948853,913.887
JBH,0.3549646914632945,40.09128189086914,41.08959579467773,10.997
SEK,0.3432858842633837,20.977670669555664,21.692930221557617,20.325
CMW,0.3389823580527257,0.6515927910804749,0.6242532134056091,646.134
SOL,0.3371753406782282,28.13370704650879,27.481273651123047,14.885
COH,0.3366531153588832,201.5481109619141,207.15133666992188,2.075
NWL,0.3321849845916361,13.418951988220217,13.232029914855955,30.746
AUB,0.3258722294004038,21.60222053527832,22.37547874450684,18.736
APA,0.3255744538130687,10.15686321258545,10.5077543258667,39.812
SFR,0.3189596262294429,4.888433933258057,5.519999980926514,81.038
DHG,0.3185931768886798,2.958108901977539,2.830350160598755,133.765
