Company,ConfidenceScore,BuyPrice,SellPrice,Quantity
WTC,0.6185760946578789,76.71716430262376,86.48534452699532,13.699
VEA,0.5330967912412211,2.8811285451505166,3.0368650406766853,314.367
LYC,0.5056095161591224,7.230000019073486,6.869999885559082,118.815
NXT,0.4824620260718574,12.489999771118164,13.180000305175781,65.629
EVT,0.4173444514386484,11.464033269755555,11.69999988225669,61.852
SUL,0.3774551673539788,11.706796842777289,12.55000037288313,54.78
REA,0.3658114308808792,144.5046442087852,160.93104006580276,4.301
SHL,0.3098797360251939,34.28099611123166,33.48649965871421,15.358
AFI,0.293461836744626,6.893495286736518,7.03000020980835,72.328
SGP,0.2849094049859243,4.090000152587891,4.019999980926514,118.352
BKW,0.2813651737872762,25.200000762939453,25.600000381469727,18.97
BRG,0.2810987947787798,21.544144446958864,23.828678170810974,22.168
NWL,0.2772262704060382,13.785342306571392,14.77709363345673,34.167
BXB,0.2547169368341225,13.80852554440695,13.877519381546096,31.34
AIA,0.2384126618507547,7.6103905444212,7.540752492355464,53.225
NEC,0.235506497513878,1.9307461977005005,2.0477610986163546,207.239
GMG,0.2292961939587702,20.030000686645508,19.84000015258789,19.45
AZJ,0.2273581837312311,3.8347826469571547,3.5021739597499018,100.731
ORI,0.2190239761298572,15.020000457763672,15.25,24.775
BPT,0.2114785210145901,1.4317035372125988,1.5501893453451605,250.961
