Company,ConfidenceScore
A2M,0.005631784825361849
ABC,0.1606182415231921
AFI,0.3096679416401724
AIA,0.1404002214251233
ALQ,0.1638978488333853
ALU,0.1479397449229659
ANN,0.1234551640550845
ANZ,0.2221408728195566
APA,0.3255744538130687
APE,0.22296577549197
ASX,-0.4158992169881178
AUB,0.3258722294004038
AZJ,-0.0426292083841329
BAP,0.21547702823743417
BEN,0.1187994946531202
BGA,0.1393563666677241
BOQ,-0.8879588624851654
BPT,0.5989205525405608
BRG,-0.3185039276004568
BSL,0.14845540471922813
CAR,0.2891576931909804
CDA,0.07898560131292982
CEN,-0.3030588213784881
CGF,0.2158644111914187
CHC,0.16769153346867202
CIP,0.2073180410912195
CMW,0.3389823580527257
COH,0.1430412005600281
CPU,0.3414313093478046
CSR,0.23730629799903577
CTD,-0.3592105053648095
CWY,0.1753621010862459
DDR,0.10680633896933156
DHG,0.3185931768886798
DOW,0.02792254128029677
EBO,0.171872386708435
ELD,0.1348821234620564
EML,0.3789466408280719
EVN,-0.3109322774905017
FBU,-0.6880670286890316
FLT,-0.061575075623359295
FPH,0.3893163634741342
GMG,-0.2475014653357172
GOZ,-0.3669550593923848
GPT,-0.211960524201673
HLS,0.0869031991157287
HUB,-0.2920199181506559
HVN,0.09459972383469835
IAG,0.4142434955868714
IEL,-0.6426933188641866
ILU,0.09508881375835698
IPL,-0.026234475902711708
JBH,0.1679622232092088
LLC,-0.39925041046142934
MCY,0.0989332870841069
MEZ,0.24303771186330073
MFG,-0.8851832029934936
MIN,0.4549273328475205
MP1,0.15440221166253543
MPL,-0.08482363654575492
NAB,0.16614725622693166
NEC,-0.3047471063336633
NHC,0.18330544249426994
NHF,0.0848845623036484
NST,0.2668052854160181
NUF,0.13057119272843695
NWL,0.3321849845916361
NXT,0.1927370163972958
ORA,-0.3235692191097312
ORI,-0.05280376038748896
OZL,0.14125248425287287
PBH,0.2108831984588718
PME,0.15142976811453457
PMV,0.18827338336314572
PNV,0.1276124669256808
PPT,0.2860368972339778
REA,-0.2362872004965577
REH,-0.3477945255365445
RRL,-0.2617385784200434
RWC,0.08975308262659816
SDF,0.14274883132382485
SEK,0.3432858842633837
SFR,0.3189596262294429
SGM,0.37922127492484287
SGP,0.2041755129295816
SGR,-0.3636030949405839
SHL,0.186521373451085
SOL,0.01497540457114723
SPK,0.1674899108798725
SUL,0.2773256851473089
SVW,0.18868936777927722
TNE,-0.025108595538397005
TWE,-0.4406403117890117
VEA,0.15808607560220833
VUK,0.20570262580449375
WES,0.1358673608021923
WOW,0.1674851218111796
WTC,0.09333441564615397
XRO,0.595867324848102
