Company,ConfidenceScore
A2M,0.1197466083810327
ABC,0.07621766563474373
AIZ,0.6599811869115669
ALL,0.11726337884990526
ALQ,0.5237460673313349
ALU,0.20143696216759902
AMP,-0.3511197886349479
ANZ,0.1186255340526204
APE,0.127235983504838
APX,0.08641375174135972
ARG,0.3262250958363589
ASX,0.1120104057671583
AUB,0.2914561045774894
AWC,0.3148043556929217
BAP,0.16904833638572903
BGA,0.2557432142901814
BLD,-0.09542901241054201
BPT,0.2162887665562942
BRG,0.1365564969867626
BSL,0.4338953398643805
BXB,0.056192879986767495
CAR,0.1409852093728138
CDA,0.3056470081697682
CEN,0.0798441433150041
CHC,0.1524520149016929
CIA,0.18600187046891867
CNU,0.1558954014909753
COH,-0.22858554430716627
CPU,0.14274583484717746
CSL,0.11977438842146992
CSR,0.1435986431603913
DDR,0.1770172433533966
DOW,-0.1390381213429935
EBO,0.1293501286193682
ELD,0.016156474032697765
EML,0.1796907027724236
EVT,0.3286219048383095
FBU,0.19343282831615247
FMG,0.09045197939640892
FPH,-0.10925312578378449
GOR,-0.4054768130042215
GOZ,0.1890915625370773
HUB,0.3126631950445996
HVN,-0.253890422218019
IAG,0.1357632932868133
IEL,0.08497366015335168
IFT,-0.005413133591320396
IGO,0.205921866284768
ILU,0.17665935954604162
IPL,0.3408688900278687
IVC,-0.2436033467638278
JBH,0.13773898960719747
JHX,-0.009437637120149537
LLC,-0.05087951887948337
LOV,0.3268245096868369
LYC,-0.2740735601043476
MCY,0.0992085074419728
MEZ,0.1851285129666811
MFG,0.135915183729736
MIN,-0.2854456403567235
MPL,-0.2554378597662599
MQG,0.09603656403168423
MTS,0.18498858661587894
NCM,0.06948706303483887
NHC,0.2797203985610836
NHF,0.6009646523373907
NST,0.165511380686057
NUF,0.17080933330658654
NWL,0.1432448380004982
NXT,-0.310127342468787
ORA,-0.03796672924551709
ORI,0.2746622643727377
PBH,0.1043615784676023
PDN,0.1588787752735199
PLS,0.3436936336307481
PMV,-0.05899824800082191
PNV,0.10093352966748391
QBE,-0.3147620402544163
QUB,-0.6975859244489863
REA,0.1754205977426982
REH,0.2064557649097995
RRL,0.3165284156573896
RWC,0.17489886921779169
SEK,-0.3025541532143887
SGM,0.4958984431007239
SGP,0.2913898938249236
SGR,-0.008611576653238065
SHL,0.12654135528597532
SKC,0.3176360989068896
SPK,0.08970503484861365
STO,0.24860876651415031
SUL,0.1796526049812011
SVW,-0.07694954005180422
TLS,0.1929064420031172
TLX,0.1350137244508408
TNE,-0.057604847963214266
TWE,0.0834057075182327
VEA,-0.013369260163505065
WBC,-0.11495605630416524
WEB,0.2703058168598103
WES,0.1619181131121363
WHC,0.1629956355705387
WOW,0.7624538052204705
WTC,0.1429404630550466
XRO,0.1556409840239661
