Company,ConfidenceScore
AFI,0.10292012878537775
AIA,0.08980062175740297
ALD,0.1406509408815501
ALQ,0.1579655708191339
ALX,0.1419770664267965
ANN,0.4894365717775429
ASX,0.1502144630088974
AWC,-0.20259770107590258
AZJ,-0.2983729094445266
BEN,0.3822294190892827
BGA,-0.19395618003067475
BPT,-1.3887002277373302
BRG,0.21372077832773984
CAR,0.1554697995587101
CDA,0.1673179009299626
CIP,0.4145507361448823
CLW,0.137998164466017
CNU,0.12800298421087739
COH,0.1852590490510861
CTD,0.1377381705518747
CWY,0.1336369581162527
DDR,-0.4064482125344581
DHG,-0.2573262461022832
DOW,0.14340649451697407
EBO,0.2064749221599958
EML,0.2807913749818497
EVN,0.2551540059449727
EVT,0.3294226875629207
FLT,0.1517884604347666
FPH,0.1804446793603395
GMG,0.2810048606398551
GOR,0.1411273199558576
HVN,0.180385539473968
IEL,0.4426924781539367
IFT,-0.357670982027405
ILU,0.3014958736060236
IPL,0.12218592877358386
LLC,0.3243157652973835
LOV,0.284905201434948
LYC,0.156400262333506
MEZ,0.0998161239820576
MGR,1.2899558727964962
MP1,-0.25596680364606367
NAB,0.1741628200041008
NHC,0.10264596477349526
NUF,0.14038306852047236
NWL,0.5884391601383547
NXT,0.2520101945992102
ORG,0.24148163434610415
ORI,0.1786090607670238
PBH,0.1360184128363069
PLS,0.20359395532911706
PMV,0.1266319314982094
PNI,0.2213509873873564
PNV,0.2486179671378909
QBE,0.418670147669694
QUB,-0.3362632067012828
REH,0.2452041860454117
RMS,0.2927226798819748
RRL,-0.2781478557415324
RWC,-0.5569171010592032
S32,-0.10979555785735577
SDF,0.1145415665597903
SEK,0.1230102103626331
SFR,0.23252123666703886
SGM,0.1204160770748425
SGP,-0.2161347371866887
SOL,0.296480921985004
STO,0.1466881032717353
SUL,0.113712306819105
SUN,-0.6946565439568401
SVW,0.1647138367636499
TAH,0.669060065059289
TNE,0.3825877560064362
WEB,0.1509608604519056
WTC,0.18714943980186907
XRO,0.2068445720062438
ZIM,0.1655098466284669
