Company,ConfidenceScore
A2M,0.14663973493188082
AIA,-0.2134516557355429
AIZ,0.016939464364929775
ALL,0.1414246146986411
ALQ,0.09154873886164865
ALU,0.2484411717436253
ALX,0.1712313405127712
ANN,0.3075423123542797
ANZ,0.8535776320932394
APA,0.5287101484417688
APX,0.1530378480137702
ASX,-0.2725210457330576
BGA,0.1734545228607803
BKW,0.2880924158097308
BLD,0.1552971276166111
BRG,0.1595122450075839
BXB,-0.19166126209275647
CBA,0.0240929840725922
CDA,0.1952521412387073
CGF,-0.3100505322952957
CHC,-0.2844144300512701
CIA,0.05321029048505043
CMW,0.1286681790787707
CNU,-0.2837055422649102
COH,0.1455831359122444
COL,0.2686711048116922
CSL,0.218322699414143
CTD,-0.3133002520794985
CWY,0.1564166997505828
DEG,0.24553191998819668
DHG,0.1321578062394388
DOW,-0.1687435344021516
EBO,-0.2476804310783454
ELD,0.1133742506392081
EVN,0.157686288273947
FMG,0.20916041709096084
GOR,0.1593571438432813
HVN,0.4269047307554539
IEL,0.1408338212727044
IFT,0.08733161936061877
IGO,0.2303258763954695
ILU,0.17946580780177357
IPL,0.03717143447727836
JBH,0.1326495411376617
JHX,0.21624160949833302
LOV,-0.3333822186483646
MCY,0.2209599108598589
MEZ,-0.04268830487723377
MGR,-0.3433366838541811
MIN,-0.2963504866589332
MP1,0.2983181446192483
MPL,-0.18890330822702048
MQG,0.08876872433828145
MTS,0.4152944878199612
NAB,0.5490588264544627
NEC,0.2476138740212477
NHC,0.1303725021950261
NUF,0.08799988467229196
NXT,0.1408611304389539
ORI,-0.33108524383852356
PBH,0.1456250197482017
PLS,-0.2672957841169422
PNV,0.1544857463112501
PRU,0.1562365318235862
QAN,0.13099085191541934
RMS,0.3565849347527201
RWC,0.2127057817308177
S32,0.1261111561392886
SEK,-0.2780236400090887
SFR,0.3269211303777142
SGM,0.1301609043411096
SGR,0.1162472160704906
SHL,0.1407895824320098
SOL,0.2899733769095232
SPK,0.1472294468194961
STO,-0.20404680587023913
SVW,0.1439803143631529
TCL,0.1297946393778804
TLS,-0.3750334675204794
TLX,0.10551417114838084
WBC,-0.015303651932091196
WEB,-0.1968487766374412
WHC,0.2863271235534773
WTC,0.9611761446000142
