Company,ConfidenceScore
A2M,0.09494687468135615
ABC,0.12440248321159601
AFI,0.3952694173246127
AMP,-0.20126501908121
ANN,0.24621215246330505
ANZ,0.1394871369609753
APA,0.06000201567655935
APX,0.13493109921374194
ARB,0.1740721950960878
AUB,-0.0634770853109501
AZJ,0.2448454551910821
BAP,0.16319180395353503
BGA,0.2604886186088143
BRG,0.19544501599059028
BSL,0.4263657395666342
BXB,0.07369863398396118
CAR,-0.2003655216491217
CCP,-0.2742108847898826
CDA,0.14164819424704486
CEN,-0.3143091741308645
CGF,0.3076386317602536
CHC,0.3633205814434043
CIA,0.1477455130255781
CNU,0.2453833318533677
COH,0.06815911113460492
CPU,-0.272454855719087
CSL,0.1305148803905171
CSR,0.305078737084348
CTD,0.2123178943134145
CWY,0.00030914208511462204
DDR,0.2347406465086739
DEG,0.1418717208042071
DHG,-0.09939183031937414
DOW,-0.0819477892298358
EBO,0.2520157554330695
ELD,-0.2478283404554507
EML,0.2851787360137692
EVN,-0.3790787572465924
EVT,0.1385443295625115
FBU,0.1574622065220997
FMG,0.2350026086531341
GOR,0.16612654566129306
GOZ,-0.3143752373202151
GPT,0.2262452257148982
HVN,0.12766938414144982
IAG,0.0942390957646612
IGO,0.16867906907231048
ILU,0.08985900795288997
IPL,0.4085392075430347
JBH,0.2025990668628999
JHX,0.5314853382196619
LOV,-0.16705024070919514
LYC,0.8648903976832898
MCY,0.1539071544895533
MEZ,0.3174694191399187
MGR,-0.6945423474766671
MP1,0.2745220410735206
MTS,0.152346460005841
NEC,0.12599948179791667
NHC,-0.02633716705927769
NST,0.2072121781054547
NUF,-0.2797213595353792
ORA,0.1822907879966015
ORG,0.11363936812735634
ORI,0.1684441938126318
PDN,0.3146758405189754
PLS,0.0977541501392879
PMV,0.2779222804955301
PNV,0.1769129287568887
PPT,-0.3235568773017115
QBE,0.1282937905943737
REA,0.20603660086523254
RWC,-0.1480678987727419
S32,0.199477474100051
SDF,0.3095130921698387
SEK,0.08576705133777207
SFR,-0.4972690732120534
SGM,0.3239657211888967
SGP,0.1615389291467548
SGR,-0.3677893256070693
SHL,0.125548191403464
SKC,0.11369074060220914
SOL,0.09676958633178019
SPK,0.0878682378254657
SUL,0.2045995346738816
SUN,0.2873975014263148
SVW,0.19633470038371362
TAH,0.10505813400664506
TLS,0.087049596370449
TNE,0.2741114890948734
VCX,0.1406965093421118
VEA,0.3261535175968297
WEB,0.2879748208432132
WES,0.3433120208181258
WHC,0.05702748544509493
WOW,0.4086732758402817
WTC,0.1740108847861534
XRO,0.1555332477829076
