Company,ConfidenceScore
AFI,0.10760011696770952
AIA,0.17034749454955725
AIZ,0.1057586552743686
AKE,0.10480844800812925
ALL,0.043372767620027085
ALQ,0.17938315103627853
ALU,0.057528030141340294
AMC,0.11688232033423322
AMP,0.0886231253732739
ANN,0.2985844062137658
APX,-0.0408465845673607
ARG,0.1359045925681828
AUB,0.4136963134328192
AWC,0.3433526995232439
AZJ,0.2273581837312311
BAP,0.1754806753898653
BEN,0.2818407162514547
BHP,0.18558565610769878
BLD,0.0777717393433626
BOQ,-0.8855296721395807
BRG,0.2890977039466073
BSL,-0.3051955066903322
BXB,0.13136987954667112
CAR,0.1386035821264152
CBA,-0.012517666346337632
CDA,0.167554710291285
CHC,-0.20168735580005095
CIA,0.07389453973263213
CNU,0.1994964878799921
CPU,-0.32068035279404633
CSL,0.196736973714747
CSR,0.0794460612996628
DDR,0.1368673147412174
DEG,0.1604078945350132
DOW,-0.2794968054240426
DRR,0.2835827106354286
EBO,0.08416690503856557
EML,-0.8873372688417704
EVN,0.1021314780071674
EVT,0.4173444514386484
FLT,0.1653291615701528
FMG,0.1439530904078389
FPH,0.3378111390406366
GMG,0.2292961939587702
HUB,0.2735468525688184
IEL,0.20494527510382535
IFT,0.2461166912676403
IGO,0.0794891845318553
IPL,0.1283573775915255
JHX,0.10005907897764199
LYC,0.6105102806798735
MIN,0.1690673413836075
MP1,0.1098501601159682
MQG,0.14500818602515425
MTS,0.1288907060586816
NAB,0.07826670847925453
NCM,0.1501798886129706
NEC,-0.024280981086687702
NHC,-0.3137199470782803
NUF,0.1537372604058466
NWL,0.2772262704060382
NXT,0.4824620260718574
ORA,0.3110400582067172
ORI,0.2190239761298572
PMV,0.1503675886367365
PNI,0.2681823444612034
PNV,0.1299891257348851
PRU,0.13970534885258568
QBE,0.246813522184594
QUB,-0.3267286258479214
REA,0.3658114308808792
REH,0.1429562487305216
RHC,0.1656948307357483
RMS,-0.6987229447495029
RRL,-0.4445547186823784
RWC,-0.22144294172038428
S32,0.16356604989134327
SEK,-0.2331102374845015
SFR,0.1404356564654815
SGM,0.1597843904446864
SGP,-0.2708222803965194
SGR,-0.028733688789977396
SHL,0.3098797360251939
SKC,-0.3071656426078615
SOL,0.1458116829372767
SUL,0.3774551673539788
SUN,-0.045606549449367095
TCL,0.1762532541141106
TLS,-0.01991560240176752
TLX,0.19612352384140364
TNE,0.2709315447703139
VEA,0.5330967912412211
VUK,0.1107272386346879
WBC,0.05182998726639155
WEB,0.13257650470232926
WES,0.11173495937324752
WHC,-0.3738820358892292
WTC,0.6185760946578789
