Company,ConfidenceScore
AIA,0.005664117352887151
ALD,0.3550037159422168
ALQ,0.09912579638528152
ALU,0.2244512397954781
ALX,0.1079968497573756
ANN,0.023945714565668786
APX,0.8668116575331546
ARG,0.145016286164807
ASX,-0.2472182198660733
AUB,0.03143679519346959
AWC,-0.2540481166168822
AZJ,-0.06722986329146641
BAP,0.1315203885270443
BEN,0.0889150745225203
BGA,0.24634348698338981
BOQ,-0.4236557630985033
BPT,0.09375294665482951
BRG,-0.3203639863143734
BSL,0.21276970896962588
BWP,0.2965141233676906
BXB,0.058716269718018986
CAR,0.1645692742038732
CBA,0.1366402860012892
CDA,0.10223405412455615
CEN,0.006363640653614037
CGF,0.1820135104053385
CHC,0.03042120764337952
CIP,0.403607415814502
CLW,0.2401422126875028
CNU,0.4020664013130259
COH,0.1415051380407528
COL,-0.22930121905576517
CPU,-0.2248744532934591
CSR,-1.4063246658324493
CTD,-0.013212247242803954
CWY,0.3573172722374552
DDR,0.6958435113778937
DHG,0.17382596618857268
EBO,-0.033073411381384005
ELD,0.169738173717293
EML,-0.2965420695350553
EVN,0.1314241975005776
FBU,-0.02993915512473973
FLT,0.06582020939641252
FMG,0.12700332580506632
FPH,-0.0523020440503722
GMG,0.1770832033694523
GOR,0.1746658519506427
GOZ,0.1226167274538121
GPT,-0.3742975802565177
HUB,0.5035283926376418
HVN,-0.7023825635772126
IAG,0.10209158903498367
IEL,-0.3083374642741772
ILU,0.6548235991948421
IPL,0.19674622917269435
JBH,0.23158729307387568
LLC,-0.4684071037119463
LOV,0.31097128951975833
LYC,-0.25671158633068997
MCY,-0.2577219930469238
MFG,0.1745197689118957
MGR,0.09504118928701577
MIN,0.26770713377336763
MP1,-0.3960073208724231
MPL,0.05123670225508857
MTS,0.250537008007607
NAB,0.3236004497236504
NEC,0.15963742299859665
NHC,-0.3783368332439965
NHF,0.15089739179341383
NSR,0.1473336845915862
NST,0.18901960593786252
NUF,0.09745960396200883
NWL,0.23664673851782045
NXT,-0.5597092803151662
ORA,0.2626189556962684
ORG,0.2094571981932056
ORI,-0.01573250656631776
PDN,0.2062190551559116
PLS,-0.09966278628836323
PME,0.2665595525289496
PMV,0.1418401254527657
PNI,-0.151686979389818
PNV,-0.5396966393915228
PPT,0.1298972784883486
QBE,0.21658253048588016
QUB,0.17168659893089933
REA,0.17877642232990454
REH,-0.3189484910904452
RMS,-0.0311341596068954
RRL,-0.1263426654275145
RWC,0.1314289913045388
S32,-0.11144937537390909
SCG,-0.13140865734612964
SDF,0.4755314256289945
SEK,0.19612132554261164
SGR,-0.13467021198193202
SHL,0.03830958726770563
SKC,-0.14744374206514108
SPK,-0.2331414156680196
SUL,-0.05197554563241939
SUN,0.0846203580102594
SVW,0.0005217934304292312
TAH,0.12293595808547042
TCL,-0.1943814033351575
TLS,0.17234946983161614
TNE,0.1315239817109666
TWE,0.3701617728094658
VCX,-0.3572534227981538
VEA,0.19661034640930003
WEB,0.1385489052818579
WES,0.17363355052940677
WHC,0.18021707074889254
WOW,-0.0018179015293016687
WTC,0.18623302333161437
XRO,-0.2924986283018774
